Date,Price,Open,High,Low,Vol.,Change %
02/19/2024,82.73,82.6,82.81,81.86,153.00K,-0.01%
02/16/2024,82.74,82.05,82.87,81.22,238.18K,0.71%
02/15/2024,82.16,80.81,82.56,80.17,260.67K,1.44%
02/14/2024,80.99,81.85,82.94,80.78,260.36K,-1.32%
02/13/2024,82.07,81.5,82.57,81.44,221.64K,0.69%
02/12/2024,81.51,81.34,81.68,80.31,163.93K,-0.12%
02/09/2024,81.61,81.11,81.81,80.63,251.10K,0.65%
02/08/2024,81.08,78.93,81.29,78.69,318.07K,2.78%
02/07/2024,78.89,78.39,79.14,78.17,187.68K,0.79%
02/06/2024,78.27,77.69,78.77,77.37,204.15K,0.69%
02/05/2024,77.73,77.6,78.06,76.41,170.07K,0.86%
02/02/2024,77.07,78.89,79.12,76.6,217.73K,-1.71%
02/01/2024,78.41,80.33,81.21,78.3,274.64K,-2.66%
01/31/2024,80.55,82.64,82.65,80.27,392.37K,-2.36%
01/30/2024,82.5,82.08,82.86,80.83,424.45K,0.82%
01/29/2024,81.83,83.53,84.17,81.46,410.49K,-1.35%
01/26/2024,82.95,81.91,83.19,80.79,448.94K,1.21%
01/25/2024,81.96,79.93,82.07,79.66,325.05K,2.93%
01/24/2024,79.63,79.25,80.33,78.6,267.24K,0.66%
01/23/2024,79.11,79.48,79.97,78.27,330.08K,-0.62%
01/22/2024,79.6,78.37,80.06,77.46,276.15K,1.95%
01/19/2024,78.08,78.65,79.26,77.87,225.78K,-0.72%
01/18/2024,78.65,77.68,78.84,76.92,254.14K,1.50%
01/17/2024,77.49,77.34,77.75,76.13,250.84K,-0.49%
01/16/2024,77.87,78.05,79.02,77.27,221.03K,0.08%
01/15/2024,77.81,77.81,78.51,76.59,127.69K,-0.21%
01/12/2024,77.97,78.5,80.3,77.68,290.15K,1.12%
01/11/2024,77.11,76.36,78.67,76.33,281.91K,0.86%
01/10/2024,76.45,77.23,78.33,76.07,240.29K,-1.05%
01/09/2024,77.26,76.12,77.86,75.72,225.28K,1.78%
01/08/2024,75.91,78.3,78.7,75.1,201.65K,-3.35%
01/05/2024,78.54,77.48,79.02,77.46,179.24K,1.46%
01/04/2024,77.41,78.4,79.22,76.36,223.86K,-0.93%
01/03/2024,78.14,75.99,78.5,74.82,222.53K,3.01%
01/02/2024,75.86,77.31,78.89,75.59,176.11K,-1.37%
