Date,Price,Open,High,Low,Vol.,Change %
04/04/2023,2.6237,2.6196,2.6537,2.5736,44.93K,0.21%
04/03/2023,2.6183,2.6893,2.7095,2.6064,43.64K,-0.09%
03/31/2023,2.6206,2.5716,2.6253,2.5576,47.92K,2.22%
03/30/2023,2.5638,2.5557,2.5948,2.5426,56.44K,-0.11%
03/29/2023,2.5665,2.639,2.6562,2.5527,73.73K,-3.01%
03/28/2023,2.6461,2.6414,2.6811,2.624,60.89K,-0.20%
03/27/2023,2.6515,2.585,2.6608,2.5656,64.27K,3.05%
03/24/2023,2.573,2.574,2.6074,2.5035,59.57K,0.01%
03/23/2023,2.5727,2.5838,2.6281,2.5592,60.18K,-1.29%
03/22/2023,2.6063,2.5709,2.6374,2.5438,61.32K,1.30%
03/21/2023,2.5729,2.5571,2.5793,2.5112,48.04K,0.59%
03/20/2023,2.5578,2.54,2.5718,2.4575,45.13K,0.42%
03/17/2023,2.5472,2.53,2.6102,2.5038,52.18K,0.45%
03/16/2023,2.5358,2.5162,2.5467,2.4238,46.45K,1.17%
03/15/2023,2.5065,2.635,2.66,2.4469,50.92K,-4.49%
03/14/2023,2.6243,2.699,2.7065,2.6115,34.74K,-2.26%
03/13/2023,2.685,2.7229,2.7515,2.5934,44.07K,-1.24%
03/10/2023,2.7188,2.6297,2.7374,2.5971,44.61K,3.21%
03/09/2023,2.6342,2.6997,2.7363,2.6289,39.20K,-2.68%
03/08/2023,2.7068,2.7376,2.7588,2.6812,35.56K,-1.64%
03/07/2023,2.7518,2.8463,2.8578,2.7343,37.83K,-3.07%
03/06/2023,2.839,2.8439,2.8482,2.7845,29.65K,-0.57%
03/03/2023,2.8553,2.8022,2.8594,2.7486,27.54K,1.63%
03/02/2023,2.8096,2.8089,2.8455,2.7803,39.48K,-0.09%
03/01/2023,2.8122,2.7439,2.8136,2.7402,25.65K,0.24%
02/28/2023,2.8056,2.8013,2.8461,2.7685,45.22K,0.19%
02/27/2023,2.8003,2.7703,2.8144,2.7567,58.19K,1.20%
02/24/2023,2.7671,2.703,2.7795,2.6662,63.28K,2.84%
02/23/2023,2.6908,2.6875,2.7288,2.6517,65.05K,-0.41%
02/22/2023,2.7018,2.7728,2.7882,2.6869,48.48K,-2.59%
02/21/2023,2.7736,2.7185,2.7947,2.6807,62.96K,0.73%
02/20/2023,2.7534,2.7367,2.7817,2.7182,,0.61%
02/19/2023,2.7368,2.7396,2.7399,2.7305,,1.30%
