Date,Price,Open,High,Low,Vol.,Change %
07/25/2022,3.382,3.2569,3.3939,3.245,2.04K,11.99%
07/24/2022,3.0198,3.2321,3.2367,3.0191,,-6.30%
07/22/2022,3.2228,3.1444,3.2474,3.0875,2.41K,2.33%
07/21/2022,3.1495,3.2465,3.2465,3.0265,1.61K,-3.84%
07/20/2022,3.2754,3.3009,3.3162,3.2472,2.82K,-0.97%
07/19/2022,3.3075,3.2769,3.31,3.2066,2.88K,1.32%
07/18/2022,3.2643,3.237,3.3385,3.2238,3.37K,2.01%
07/17/2022,3.2001,3.2146,3.2146,3.1946,,-0.41%
07/15/2022,3.2132,3.1827,3.2762,3.1343,3.39K,0.83%
07/14/2022,3.1868,3.2533,3.2757,3.1023,6.75K,-1.45%
07/13/2022,3.2337,3.2531,3.2776,3.1511,3.20K,-0.95%
07/12/2022,3.2646,3.4487,3.4487,3.2279,2.31K,-5.71%
07/11/2022,3.4622,3.4185,3.4792,3.3646,2.97K,1.03%
07/10/2022,3.427,3.4383,3.4398,3.4182,,-0.58%
07/08/2022,3.4471,3.4226,3.4817,3.3485,2.42K,0.78%
07/07/2022,3.4204,3.254,3.4848,3.2189,4.19K,5.68%
07/06/2022,3.2366,3.395,3.4,3.1918,3.05K,-2.78%
07/05/2022,3.329,3.6732,3.7354,3.2738,5.09K,-10.47%
07/04/2022,3.7182,3.6645,3.7478,3.6414,1.05K,1.25%
07/03/2022,3.6722,3.6608,3.6827,3.6592,,-0.42%
07/01/2022,3.6878,3.56,3.732,3.5066,4.88K,4.28%
06/30/2022,3.5363,3.6532,3.6657,3.4492,4.92K,-7.60%
06/29/2022,3.827,3.9007,3.9372,3.7764,0.35K,-2.75%
06/28/2022,3.9351,3.873,3.9441,3.7836,1.60K,2.55%
06/27/2022,3.8372,3.8692,3.9293,3.819,1.75K,1.94%
06/26/2022,3.7641,3.747,3.766,3.7341,,-3.11%
06/24/2022,3.8848,3.7768,3.8932,3.734,1.72K,3.17%
06/23/2022,3.7656,3.7873,3.8733,3.7083,2.48K,-1.79%
06/22/2022,3.8341,3.7297,3.8361,3.6494,1.38K,1.04%
06/21/2022,3.7945,3.8699,3.9452,3.7838,3.09K,-1.20%
06/20/2022,3.8404,3.8473,3.8535,3.7177,0.62K,0.17%
06/19/2022,3.8338,3.8445,3.8583,3.83,,1.08%
06/17/2022,3.793,3.8988,3.9503,3.6427,4.62K,-4.12%
06/16/2022,3.9558,3.9208,3.965,3.804,3.62K,1.58%
06/15/2022,3.8942,4.008,4.0223,3.864,4.22K,-2.49%
06/14/2022,3.9938,4.0108,4.1273,3.9443,5.96K,-1.03%
06/13/2022,4.0353,4.1448,4.1562,3.9722,4.63K,-2.21%
06/12/2022,4.1267,4.1433,4.1533,4.1227,,-1.09%
06/10/2022,4.1722,4.2427,4.3202,4.1277,4.79K,-2.43%
06/09/2022,4.2762,4.1942,4.3133,4.1764,3.28K,1.29%
06/08/2022,4.2219,4.1621,4.251,4.0826,3.81K,1.54%
06/07/2022,4.1577,4.2287,4.2321,4.0543,4.69K,-0.84%
06/06/2022,4.193,4.3151,4.3158,4.1871,3.45K,-2.81%
06/05/2022,4.3144,4.3073,4.3224,4.2966,,1.46%
06/03/2022,4.2522,4.2595,4.3054,4.1536,3.82K,1.46%
06/02/2022,4.1909,4.0165,4.2343,3.9912,4.16K,2.93%
06/01/2022,4.0716,3.9471,4.0994,3.9436,6.32K,3.97%
05/31/2022,3.9162,3.9344,4.045,3.913,6.65K,-0.09%
05/30/2022,3.9198,3.9249,3.9401,3.8949,2.34K,-0.05%
05/29/2022,3.9218,3.9059,3.9219,3.9019,,-2.34%
05/27/2022,4.0158,3.9004,3.9006,3.8583,0.66K,3.57%
05/26/2022,3.8774,3.836,3.9252,3.812,3.86K,1.19%
05/25/2022,3.8317,3.8318,3.8869,3.7864,2.05K,0.54%
05/24/2022,3.811,3.6805,3.8143,3.635,4.29K,0.35%
05/23/2022,3.7977,3.8539,3.8637,3.6279,2.99K,-1.15%
