Date,Price,Open,High,Low,Vol.,Change %
05/07/2024,78.38,78.72,79.17,77.55,327.59K,-0.13%
05/06/2024,78.48,78.16,79.09,77.91,297.37K,0.47%
05/03/2024,78.11,79.07,79.63,77.96,324.44K,-1.06%
05/02/2024,78.95,79.15,79.9,78.41,359.65K,-0.06%
05/01/2024,79,81.48,81.57,78.83,441.98K,-3.58%
04/30/2024,81.93,82.76,83.3,80.95,400.68K,-0.85%
04/29/2024,82.63,83.69,83.91,82.4,336.98K,-1.45%
04/26/2024,83.85,83.81,84.46,83.35,244.09K,0.34%
04/25/2024,83.57,82.83,83.83,81.99,314.12K,0.92%
04/24/2024,82.81,83.4,83.71,82.44,329.08K,-0.66%
04/23/2024,83.36,82.13,83.43,80.88,355.81K,0.62%
04/22/2024,82.85,83.05,83.35,81.85,30.21K,-0.35%
04/19/2024,83.14,82.62,86.28,81.8,76.90K,0.50%
04/18/2024,82.73,82.79,83.47,81.56,84.47K,0.05%
04/17/2024,82.69,85.36,85.51,82.55,259.54K,-3.13%
04/16/2024,85.36,85.7,86.18,84.75,241.34K,-0.06%
04/15/2024,85.41,85.93,86.11,84.05,343.89K,-0.29%
04/12/2024,85.66,85.6,87.67,85.24,369.96K,0.75%
04/11/2024,85.02,86.32,86.63,84.84,388.13K,-1.38%
04/10/2024,86.21,85.34,86.38,84.55,373.94K,1.15%
04/09/2024,85.23,86.59,86.98,85.09,314.99K,-1.39%
04/08/2024,86.43,86.1,87.1,84.69,393.73K,-0.55%
04/05/2024,86.91,86.86,87.63,86.32,353.21K,0.37%
04/04/2024,86.59,85.66,87.22,84.64,359.53K,1.36%
04/03/2024,85.43,85.46,86.2,84.85,322.55K,0.33%
04/02/2024,85.15,84.04,85.5,83.85,344.04K,1.72%
04/01/2024,83.71,83.14,84.49,82.6,321.06K,0.65%
03/28/2024,83.17,81.71,83.21,81.52,293.77K,2.24%
03/27/2024,81.35,81.29,81.74,80.55,249.96K,-0.33%
03/26/2024,81.62,81.94,82.36,81.22,235.85K,-0.40%
03/25/2024,81.95,80.85,82.48,80.59,300.36K,1.64%
03/22/2024,80.63,80.84,81.45,80.42,231.10K,-0.54%
03/21/2024,81.07,81.49,81.92,80.3,266.86K,-0.75%
03/20/2024,81.68,83.2,83.21,81.44,26.04K,-2.14%
03/19/2024,83.47,82.85,83.85,82.39,76.81K,0.91%
03/18/2024,82.72,81.03,83.09,81.01,84.72K,2.07%
03/15/2024,81.04,81.14,81.45,80.49,185.08K,-0.27%
03/14/2024,81.26,79.63,81.62,79.57,297.45K,1.93%
03/13/2024,79.72,78.06,79.9,77.57,316.39K,2.78%
